date,aapl,bbby,goog,adbe,car,amc,cvx,csco,bac,tsla
2021-12-23,176.28,15.98,2942.85,569.62,223.93,28.52,116.41,62.28,44.42,1067.0
2021-12-22,175.64,15.63,2938.98,563.98,216.9,28.68,116.13,61.53,44.28,1008.87
2021-12-21,172.99,15.77,2884.41,557.52,225.37,30.3,115.47,61.03,44.19,938.53
2021-12-20,169.75,15.12,2848.03,549.77,212.84,29.7,113.65,60.36,43.16,899.94
2021-12-17,171.14,15.98,2856.06,556.64,216.54,29.12,113.6,60.46,43.88,932.57
2021-12-16,172.26,15.53,2896.77,566.09,216.26,24.45,116.64,60.31,45.0,926.92
2021-12-15,179.3,16.3,2947.37,630.33,226.56,24.66,115.56,59.93,43.94,975.99
2021-12-14,174.33,16.4,2899.41,614.86,226.06,24.5,116.22,57.77,44.13,958.51
2021-12-13,175.74,16.56,2934.09,658.3,234.71,23.24,115.88,58.61,43.58,966.41
2021-12-10,179.45,17.71,2973.5,654.45,243.98,27.44,118.34,59.25,44.52,1017.03
2021-12-09,174.56,19.13,2962.12,632.57,246.21,29.46,118.14,57.55,44.49,1003.8
2021-12-08,175.08,19.22,2974.41,653.1,248.15,32.35,118.45,57.02,44.16,1068.96
2021-12-07,171.18,19.14,2960.73,649.96,252.86,31.04,117.92,58.08,44.71,1051.75
2021-12-06,165.32,18.58,2875.93,622.04,265.3,28.79,116.2,56.96,44.15,1009.01
2021-12-03,161.84,17.86,2850.41,616.53,261.22,29.01,114.41,56.23,43.87,1014.97
2021-12-02,163.76,18.15,2875.53,671.88,268.12,30.28,115.14,56.15,44.89,1084.6
2021-12-01,164.77,17.11,2832.36,657.41,253.27,28.57,112.1,55.03,43.84,1095.0
2021-11-30,165.3,18.33,2849.04,669.85,274.59,33.94,112.87,54.84,44.47,1144.76
2021-11-29,160.24,20.19,2922.28,687.49,305.16,36.84,114.85,55.76,45.59,1136.99
2021-11-26,156.81,20.9,2856.12,662.1,288.96,37.63,114.51,54.67,45.76,1081.92
2021-11-24,161.94,22.29,2934.35,668.32,312.65,38.89,117.19,55.54,47.63,1116.0
2021-11-23,161.41,22.27,2935.14,665.16,307.71,39.16,116.3,55.3,47.5,1109.03
2021-11-22,161.02,24.01,2941.57,673.57,301.6,41.24,113.91,54.6,46.28,1156.87
2021-11-19,160.55,23.25,2999.05,688.37,286.3,40.87,111.91,53.25,45.4,1137.06
2021-11-18,157.87,22.9,3014.18,670.96,277.95,40.41,114.45,53.63,46.32,1096.38
2021-11-17,153.49,22.87,2981.24,670.67,274.9,42.13,115.42,56.76,46.51,1089.01
2021-11-16,151.0,22.56,2981.52,671.03,281.5,42.6,117.28,57.0,47.08,1054.73
2021-11-15,150.0,21.58,2987.76,659.73,273.91,42.68,116.82,57.27,47.05,1013.39
2021-11-12,149.99,22.54,2992.91,657.6,267.03,40.0,114.23,56.82,46.91,1033.42
2021-11-11,147.87,23.08,2934.96,643.17,270.2,39.46,114.16,56.76,47.49,1063.51
2021-11-10,147.92,21.79,2932.52,647.5,253.88,38.29,114.15,57.77,47.23,1067.95
2021-11-09,150.81,21.59,2984.97,667.92,249.68,39.93,116.0,57.44,46.88,1023.5
2021-11-08,150.44,21.67,2987.03,666.02,293.1,45.06,115.15,57.0,47.34,1162.94
2021-11-05,151.28,22.57,2984.82,662.72,297.46,41.7,114.74,57.07,46.97,1222.09
2021-11-04,150.96,20.17,2973.66,674.08,272.14,40.05,113.51,57.12,47.33,1229.91
2021-11-03,151.49,19.3,2935.8,655.18,298.09,40.79,113.01,57.65,48.37,1213.86
2021-11-02,150.02,16.75,2917.26,640.4,357.17,38.79,113.83,57.62,47.88,1172.0
2021-11-01,148.96,15.28,2875.48,640.2,171.46,37.07,114.53,56.1,47.85,1208.59
2021-10-29,149.8,14.04,2965.41,650.36,173.31,35.37,114.49,55.97,47.78,1114.0
2021-10-28,152.57,14.39,2922.58,639.28,171.76,35.23,113.12,56.24,47.78,1077.04
2021-10-27,148.85,13.67,2928.55,640.08,165.99,34.76,112.07,56.18,47.04,1037.86
2021-10-26,149.32,14.13,2793.44,642.5,169.96,36.05,114.1,55.81,47.96,1018.43
2021-10-25,148.64,14.46,2775.46,646.97,176.65,36.83,113.85,55.14,47.51,1024.86
2021-10-22,148.69,14.31,2772.5,643.58,167.97,36.6,112.8,55.11,47.57,909.68
2021-10-21,149.48,14.29,2855.61,638.66,167.51,39.24,111.74,55.69,46.83,894.0
2021-10-20,149.26,14.28,2848.3,632.37,160.3,40.88,113.16,56.2,47.09,865.8
2021-10-19,148.76,14.5,2876.44,636.07,158.9,40.8,111.7,55.74,46.48,864.27
2021-10-18,146.55,14.72,2859.21,622.83,158.32,43.03,109.56,55.19,46.28,870.11
2021-10-15,144.84,13.99,2833.5,610.09,150.97,40.74,109.61,55.25,46.37,843.03
2021-10-14,143.76,14.42,2828.24,607.51,147.19,40.07,108.81,55.65,45.07,818.32
2021-10-13,140.91,14.44,2758.0,591.12,149.86,37.91,107.79,54.62,43.14,811.08
2021-10-12,141.51,14.45,2734.26,580.69,153.39,36.82,107.15,54.28,43.54,805.72
2021-10-11,142.81,14.59,2776.95,573.07,142.43,37.25,107.13,54.93,43.78,791.94
2021-10-08,142.9,14.85,2801.12,576.86,138.2,37.19,108.05,55.08,44.34,785.49
2021-10-07,143.29,15.5,2783.71,578.96,126.45,38.14,105.68,55.02,44.12,793.61
2021-10-06,142.0,14.42,2747.08,570.31,128.58,36.83,104.93,53.94,44.24,782.75
2021-10-05,141.11,15.03,2723.54,566.7,128.78,37.06,105.86,54.69,44.22,780.59
2021-10-04,139.14,15.7,2675.3,558.49,120.94,36.77,104.72,54.23,43.34,781.53
2021-10-01,142.65,16.58,2729.25,577.47,121.89,38.46,104.33,55.14,43.08,775.22
2021-09-30,141.5,17.275,2665.31,575.72,116.51,38.06,101.45,54.43,42.45,775.48
2021-09-29,142.83,22.2,2690.42,577.7,117.99,35.54,103.33,55.48,43.07,781.31
2021-09-28,141.91,22.87,2723.68,578.77,120.21,36.99,103.36,55.52,43.16,777.56
2021-09-27,145.37,23.77,2830.02,603.65,120.16,39.3,102.97,56.22,43.26,791.36
